pdb_id,target_chain,partner_chain,threshold,positive_count,negative_count,positive_ratio,negative_ratio
1IXB,A,B,1.00,22,183,0.107317,0.892683
1IXB,A,B,2.00,20,185,0.097561,0.902439
1IXB,A,B,5.00,18,187,0.087805,0.912195
4NSV,A,B,0.50,20,244,0.075758,0.924242
4NSV,A,B,1.00,20,244,0.075758,0.924242
4NSV,A,B,2.00,19,245,0.071970,0.928030
4NSV,A,B,5.00,18,246,0.068182,0.931818
3G46,A,B,0.50,26,120,0.178082,0.821918
3G46,A,B,1.00,26,120,0.178082,0.821918
3G46,A,B,2.00,26,120,0.178082,0.821918
3G46,A,B,5.00,24,122,0.164384,0.835616
5BR4,A,B,0.50,25,360,0.064935,0.935065
5BR4,A,B,1.00,25,360,0.064935,0.935065
5BR4,A,B,2.00,23,362,0.059740,0.940260
5BR4,A,B,5.00,19,366,0.049351,0.950649
9LH0,A,B,0.50,26,9,0.742857,0.257143
9LH0,A,B,1.00,26,9,0.742857,0.257143
9LH0,A,B,2.00,26,9,0.742857,0.257143
9LH0,A,B,5.00,25,10,0.714286,0.285714
6TJ8,A,B,0.50,105,559,0.158133,0.841867
6TJ8,A,B,1.00,105,559,0.158133,0.841867
6TJ8,A,B,2.00,98,566,0.147590,0.852410
6TJ8,A,B,5.00,87,577,0.131024,0.868976
2XTT,A,B,0.50,18,17,0.514286,0.485714
2XTT,A,B,1.00,18,17,0.514286,0.485714
2XTT,A,B,2.00,18,17,0.514286,0.485714
2XTT,A,B,5.00,18,17,0.514286,0.485714
3FX5,A,B,0.50,40,59,0.404040,0.595960
3FX5,A,B,1.00,40,59,0.404040,0.595960
3FX5,A,B,2.00,39,60,0.393939,0.606061
3FX5,A,B,5.00,38,61,0.383838,0.616162
2GUD,A,B,0.50,51,70,0.421488,0.578512
2GUD,A,B,1.00,51,70,0.421488,0.578512
2GUD,A,B,2.00,50,71,0.413223,0.586777
2GUD,A,B,5.00,46,75,0.380165,0.619835
7APS,A,B,0.50,17,111,0.132812,0.867188
7APS,A,B,1.00,17,111,0.132812,0.867188
7APS,A,B,2.00,16,112,0.125000,0.875000
7APS,A,B,5.00,14,114,0.109375,0.890625
9YFS,A,B,0.50,36,159,0.184615,0.815385
9YFS,A,B,1.00,36,159,0.184615,0.815385
9YFS,A,B,2.00,36,159,0.184615,0.815385
9YFS,A,B,5.00,33,162,0.169231,0.830769
1NKI,A,B,0.50,61,73,0.455224,0.544776
1NKI,A,B,1.00,61,73,0.455224,0.544776
1NKI,A,B,2.00,61,73,0.455224,0.544776
1NKI,A,B,5.00,56,78,0.417910,0.582090
3F1L,A,B,0.50,36,209,0.146939,0.853061
3F1L,A,B,1.00,36,209,0.146939,0.853061
3F1L,A,B,2.00,36,209,0.146939,0.853061
3F1L,A,B,5.00,33,212,0.134694,0.865306
4EGU,A,B,0.50,45,73,0.381356,0.618644
4EGU,A,B,1.00,45,73,0.381356,0.618644
4EGU,A,B,2.00,41,77,0.347458,0.652542
4EGU,A,B,5.00,40,78,0.338983,0.661017
4UNU,A,B,0.50,19,90,0.174312,0.825688
4UNU,A,B,1.00,19,90,0.174312,0.825688
4UNU,A,B,2.00,18,91,0.165138,0.834862
4UNU,A,B,5.00,16,93,0.146789,0.853211
5AQ0,A,B,0.50,12,69,0.148148,0.851852
5AQ0,A,B,1.00,12,69,0.148148,0.851852
5AQ0,A,B,2.00,12,69,0.148148,0.851852
5AQ0,A,B,5.00,11,70,0.135802,0.864198
5JSK,A,B,0.50,83,200,0.293286,0.706714
5JSK,A,B,1.00,83,200,0.293286,0.706714
5JSK,A,B,2.00,83,200,0.293286,0.706714
5JSK,A,B,5.00,81,202,0.286219,0.713781
6J64,A,B,0.50,47,66,0.415929,0.584071
6J64,A,B,1.00,47,66,0.415929,0.584071
6J64,A,B,2.00,46,67,0.407080,0.592920
6J64,A,B,5.00,39,74,0.345133,0.654867
6TJ9,A,B,0.50,107,557,0.161145,0.838855
6TJ9,A,B,1.00,107,557,0.161145,0.838855
6TJ9,A,B,2.00,97,567,0.146084,0.853916
6TJ9,A,B,5.00,86,578,0.129518,0.870482
6YTU,A,B,0.50,20,14,0.588235,0.411765
6YTU,A,B,1.00,20,14,0.588235,0.411765
6YTU,A,B,2.00,20,14,0.588235,0.411765
6YTU,A,B,5.00,19,15,0.558824,0.441176
8PKR,A,B,0.50,43,78,0.355372,0.644628
8PKR,A,B,1.00,43,78,0.355372,0.644628
8PKR,A,B,2.00,41,80,0.338843,0.661157
8PKR,A,B,5.00,40,81,0.330579,0.669421
9LB3,A,B,0.50,30,118,0.202703,0.797297
9LB3,A,B,1.00,30,118,0.202703,0.797297
9LB3,A,B,2.00,29,119,0.195946,0.804054
9LB3,A,B,5.00,27,121,0.182432,0.817568
9GZ4,A,B,0.50,103,290,0.262087,0.737913
9GZ4,A,B,1.00,103,290,0.262087,0.737913
9GZ4,A,B,2.00,90,303,0.229008,0.770992
9GZ4,A,B,5.00,81,312,0.206107,0.793893
2NMZ,A,B,0.50,39,60,0.393939,0.606061
2NMZ,A,B,1.00,39,60,0.393939,0.606061
2NMZ,A,B,2.00,39,60,0.393939,0.606061
2NMZ,A,B,5.00,37,62,0.373737,0.626263
3EO6,A,B,0.50,31,70,0.306931,0.693069
3EO6,A,B,1.00,31,70,0.306931,0.693069
3EO6,A,B,2.00,30,71,0.297030,0.702970
3EO6,A,B,5.00,26,75,0.257426,0.742574
3AZD,A,B,0.50,17,13,0.566667,0.433333
3AZD,A,B,1.00,17,13,0.566667,0.433333
3AZD,A,B,2.00,16,14,0.533333,0.466667
3AZD,A,B,5.00,16,14,0.533333,0.466667
3PSM,A,B,0.50,10,37,0.212766,0.787234
3PSM,A,B,1.00,10,37,0.212766,0.787234
3PSM,A,B,2.00,8,39,0.170213,0.829787
3PSM,A,B,5.00,8,39,0.170213,0.829787
4A7U,A,F,0.50,19,134,0.124183,0.875817
4A7U,A,F,1.00,19,134,0.124183,0.875817
4A7U,A,F,2.00,18,135,0.117647,0.882353
4A7U,A,F,5.00,17,136,0.111111,0.888889
5SY4,A,B,0.50,36,159,0.184615,0.815385
5SY4,A,B,1.00,36,159,0.184615,0.815385
5SY4,A,B,2.00,35,160,0.179487,0.820513
5SY4,A,B,5.00,32,163,0.164103,0.835897
9YKF,A,B,0.50,36,159,0.184615,0.815385
9YKF,A,B,1.00,36,159,0.184615,0.815385
9YKF,A,B,2.00,36,159,0.184615,0.815385
9YKF,A,B,5.00,32,163,0.164103,0.835897
1MWQ,A,B,0.50,41,58,0.414141,0.585859
1MWQ,A,B,1.00,41,58,0.414141,0.585859
1MWQ,A,B,2.00,37,62,0.373737,0.626263
1MWQ,A,B,5.00,35,64,0.353535,0.646465
6RK0,A,B,0.50,94,120,0.439252,0.560748
6RK0,A,B,1.00,94,120,0.439252,0.560748
6RK0,A,B,2.00,94,120,0.439252,0.560748
6RK0,A,B,5.00,91,123,0.425234,0.574766
9GTJ,A,B,0.50,29,157,0.155914,0.844086
9GTJ,A,B,1.00,29,157,0.155914,0.844086
9GTJ,A,B,2.00,29,157,0.155914,0.844086
9GTJ,A,B,5.00,29,157,0.155914,0.844086
4NDS,A,B,0.50,25,69,0.265957,0.734043
4NDS,A,B,1.00,25,69,0.265957,0.734043
4NDS,A,B,2.00,24,70,0.255319,0.744681
4NDS,A,B,5.00,23,71,0.244681,0.755319
2JHF,A,B,0.50,47,327,0.125668,0.874332
2JHF,A,B,1.00,47,327,0.125668,0.874332
2JHF,A,B,2.00,46,328,0.122995,0.877005
2JHF,A,B,5.00,42,332,0.112299,0.887701
2PL7,A,B,0.50,12,55,0.179104,0.820896
2PL7,A,B,1.00,12,55,0.179104,0.820896
2PL7,A,B,2.00,12,55,0.179104,0.820896
2PL7,A,B,5.00,12,55,0.179104,0.820896
2VHA,A,B,0.50,21,256,0.075812,0.924188
2VHA,A,B,1.00,21,256,0.075812,0.924188
2VHA,A,B,2.00,21,256,0.075812,0.924188
2VHA,A,B,5.00,20,257,0.072202,0.927798
2WYT,A,F,0.50,19,134,0.124183,0.875817
2WYT,A,F,1.00,19,134,0.124183,0.875817
2WYT,A,F,2.00,17,136,0.111111,0.888889
2WYT,A,F,5.00,17,136,0.111111,0.888889
3CCD,A,B,0.50,7,78,0.082353,0.917647
3CCD,A,B,1.00,7,78,0.082353,0.917647
3CCD,A,B,2.00,7,78,0.082353,0.917647
3CCD,A,B,5.00,6,79,0.070588,0.929412
3DJK,A,B,0.50,43,56,0.434343,0.565657
3DJK,A,B,1.00,43,56,0.434343,0.565657
3DJK,A,B,2.00,42,57,0.424242,0.575758
3DJK,A,B,5.00,39,60,0.393939,0.606061
3NOQ,A,B,0.50,61,166,0.268722,0.731278
3NOQ,A,B,1.00,61,166,0.268722,0.731278
3NOQ,A,B,2.00,60,167,0.264317,0.735683
3NOQ,A,B,5.00,53,174,0.233480,0.766520
3RQ9,A,B,0.50,20,58,0.256410,0.743590
3RQ9,A,B,1.00,20,58,0.256410,0.743590
3RQ9,A,B,2.00,20,58,0.256410,0.743590
3RQ9,A,B,5.00,19,59,0.243590,0.756410
3VRC,A,B,0.50,20,110,0.153846,0.846154
3VRC,A,B,1.00,20,110,0.153846,0.846154
3VRC,A,B,2.00,19,111,0.146154,0.853846
3VRC,A,B,5.00,18,112,0.138462,0.861538
4A7V,A,F,0.50,18,135,0.117647,0.882353
4A7V,A,F,1.00,18,135,0.117647,0.882353
4A7V,A,F,2.00,18,135,0.117647,0.882353
4A7V,A,F,5.00,17,136,0.111111,0.888889
4AXO,A,B,0.50,45,81,0.357143,0.642857
4AXO,A,B,1.00,45,81,0.357143,0.642857
4AXO,A,B,2.00,44,82,0.349206,0.650794
4AXO,A,B,5.00,39,87,0.309524,0.690476
4CNN,A,B,0.50,29,216,0.118367,0.881633
4CNN,A,B,1.00,29,216,0.118367,0.881633
4CNN,A,B,2.00,29,216,0.118367,0.881633
4CNN,A,B,5.00,28,217,0.114286,0.885714
4YNH,A,B,0.50,35,23,0.603448,0.396552
4YNH,A,B,1.00,35,23,0.603448,0.396552
4YNH,A,B,2.00,33,25,0.568966,0.431034
4YNH,A,B,5.00,33,25,0.568966,0.431034
5IDB,A,B,0.50,32,110,0.225352,0.774648
5IDB,A,B,1.00,32,110,0.225352,0.774648
5IDB,A,B,2.00,29,113,0.204225,0.795775
5IDB,A,B,5.00,24,118,0.169014,0.830986
5XQP,A,B,0.50,12,53,0.184615,0.815385
5XQP,A,B,1.00,12,53,0.184615,0.815385
5XQP,A,B,2.00,11,54,0.169231,0.830769
5XQP,A,B,5.00,11,54,0.169231,0.830769
6IXD,A,B,0.50,42,57,0.424242,0.575758
6IXD,A,B,1.00,42,57,0.424242,0.575758
6IXD,A,B,2.00,42,57,0.424242,0.575758
6IXD,A,B,5.00,37,62,0.373737,0.626263
6L8G,A,B,0.50,30,8,0.789474,0.210526
6L8G,A,B,1.00,30,8,0.789474,0.210526
6L8G,A,B,2.00,29,9,0.763158,0.236842
6L8G,A,B,5.00,28,10,0.736842,0.263158
7Q1Q,A,B,0.50,13,17,0.433333,0.566667
7Q1Q,A,B,1.00,13,17,0.433333,0.566667
7Q1Q,A,B,2.00,13,17,0.433333,0.566667
7Q1Q,A,B,5.00,12,18,0.400000,0.600000
8DA5,A,B,0.50,16,41,0.280702,0.719298
8DA5,A,B,1.00,16,41,0.280702,0.719298
8DA5,A,B,2.00,15,42,0.263158,0.736842
8DA5,A,B,5.00,15,42,0.263158,0.736842
8TSX,A,B,0.50,63,163,0.278761,0.721239
8TSX,A,B,1.00,63,163,0.278761,0.721239
8TSX,A,B,2.00,59,167,0.261062,0.738938
8TSX,A,B,5.00,52,174,0.230088,0.769912
4YPO,A,B,0.50,130,195,0.400000,0.600000
4YPO,A,B,1.00,130,195,0.400000,0.600000
4YPO,A,B,2.00,126,199,0.387692,0.612308
4YPO,A,B,5.00,120,205,0.369231,0.630769
3SK2,A,B,0.50,57,75,0.431818,0.568182
3SK2,A,B,1.00,57,75,0.431818,0.568182
3SK2,A,B,2.00,57,75,0.431818,0.568182
3SK2,A,B,5.00,52,80,0.393939,0.606061
8BJ8,A,B,0.50,99,295,0.251269,0.748731
8BJ8,A,B,1.00,99,295,0.251269,0.748731
8BJ8,A,B,2.00,91,303,0.230964,0.769036
8BJ8,A,B,5.00,82,312,0.208122,0.791878
8Q1F,A,B,0.50,15,206,0.067873,0.932127
8Q1F,A,B,1.00,15,206,0.067873,0.932127
8Q1F,A,B,2.00,15,206,0.067873,0.932127
8Q1F,A,B,5.00,13,208,0.058824,0.941176
3NU3,A,B,0.50,43,56,0.434343,0.565657
3NU3,A,B,1.00,43,56,0.434343,0.565657
3NU3,A,B,2.00,41,58,0.414141,0.585859
3NU3,A,B,5.00,38,61,0.383838,0.616162
5QU3,A,B,0.50,47,10,0.824561,0.175439
5QU3,A,B,1.00,47,10,0.824561,0.175439
5QU3,A,B,2.00,45,12,0.789474,0.210526
5QU3,A,B,5.00,45,12,0.789474,0.210526
6J5S,A,B,0.50,46,67,0.407080,0.592920
6J5S,A,B,1.00,46,67,0.407080,0.592920
6J5S,A,B,2.00,45,68,0.398230,0.601770
6J5S,A,B,5.00,39,74,0.345133,0.654867
6Z8M,A,B,0.50,82,201,0.289753,0.710247
6Z8M,A,B,1.00,82,201,0.289753,0.710247
6Z8M,A,B,2.00,82,201,0.289753,0.710247
6Z8M,A,B,5.00,78,205,0.275618,0.724382
8DA7,A,B,0.50,16,38,0.296296,0.703704
8DA7,A,B,1.00,16,38,0.296296,0.703704
8DA7,A,B,2.00,16,38,0.296296,0.703704
8DA7,A,B,5.00,14,40,0.259259,0.740741
8QF4,A,E,0.50,25,42,0.373134,0.626866
8QF4,A,E,1.00,25,42,0.373134,0.626866
8QF4,A,E,2.00,25,42,0.373134,0.626866
8QF4,A,E,5.00,23,44,0.343284,0.656716
8TT5,A,B,0.50,61,166,0.268722,0.731278
8TT5,A,B,1.00,61,166,0.268722,0.731278
8TT5,A,B,2.00,58,169,0.255507,0.744493
8TT5,A,B,5.00,52,175,0.229075,0.770925
9GZ0,A,B,0.50,103,290,0.262087,0.737913
9GZ0,A,B,1.00,103,290,0.262087,0.737913
9GZ0,A,B,2.00,92,301,0.234097,0.765903
9GZ0,A,B,5.00,82,311,0.208651,0.791349
9GZL,A,B,0.50,102,292,0.258883,0.741117
9GZL,A,B,1.00,102,292,0.258883,0.741117
9GZL,A,B,2.00,92,302,0.233503,0.766497
9GZL,A,B,5.00,81,313,0.205584,0.794416
9QDG,A,B,0.50,97,296,0.246819,0.753181
9QDG,A,B,1.00,97,296,0.246819,0.753181
9QDG,A,B,2.00,90,303,0.229008,0.770992
9QDG,A,B,5.00,82,311,0.208651,0.791349
9ZDI,A,B,0.50,14,38,0.269231,0.730769
9ZDI,A,B,1.00,14,38,0.269231,0.730769
9ZDI,A,B,2.00,14,38,0.269231,0.730769
9ZDI,A,B,5.00,13,39,0.250000,0.750000
1KQP,A,B,0.50,64,207,0.236162,0.763838
1KQP,A,B,1.00,64,207,0.236162,0.763838
1KQP,A,B,2.00,61,210,0.225092,0.774908
1KQP,A,B,5.00,58,213,0.214022,0.785978
3NDX,A,B,0.50,40,59,0.404040,0.595960
3NDX,A,B,1.00,40,59,0.404040,0.595960
3NDX,A,B,2.00,39,60,0.393939,0.606061
3NDX,A,B,5.00,35,64,0.353535,0.646465
3NOO,A,B,0.50,61,167,0.267544,0.732456
3NOO,A,B,1.00,61,167,0.267544,0.732456
3NOO,A,B,2.00,60,168,0.263158,0.736842
3NOO,A,B,5.00,53,175,0.232456,0.767544
3O1N,A,B,0.50,26,226,0.103175,0.896825
3O1N,A,B,1.00,26,226,0.103175,0.896825
3O1N,A,B,2.00,26,226,0.103175,0.896825
3O1N,A,B,5.00,24,228,0.095238,0.904762
3VZ9,B,D,0.50,40,63,0.388350,0.611650
3VZ9,B,D,1.00,40,63,0.388350,0.611650
3VZ9,B,D,2.00,36,67,0.349515,0.650485
3VZ9,B,D,5.00,34,69,0.330097,0.669903
1WUI,L,S,0.50,93,439,0.174812,0.825188
1WUI,L,S,1.00,93,439,0.174812,0.825188
1WUI,L,S,2.00,89,443,0.167293,0.832707
1WUI,L,S,5.00,81,451,0.152256,0.847744
2ANV,A,B,0.50,29,117,0.198630,0.801370
2ANV,A,B,1.00,29,117,0.198630,0.801370
2ANV,A,B,2.00,28,118,0.191781,0.808219
2ANV,A,B,5.00,23,123,0.157534,0.842466
2ANX,A,B,0.50,15,131,0.102740,0.897260
2ANX,A,B,1.00,15,131,0.102740,0.897260
2ANX,A,B,2.00,14,132,0.095890,0.904110
2ANX,A,B,5.00,14,132,0.095890,0.904110
2GJ3,A,B,0.50,25,94,0.210084,0.789916
2GJ3,A,B,1.00,25,94,0.210084,0.789916
2GJ3,A,B,2.00,25,94,0.210084,0.789916
2GJ3,A,B,5.00,24,95,0.201681,0.798319
2OB3,A,B,0.50,35,294,0.106383,0.893617
2OB3,A,B,1.00,35,294,0.106383,0.893617
2OB3,A,B,2.00,35,294,0.106383,0.893617
2OB3,A,B,5.00,32,297,0.097264,0.902736
5JSY,A,B,0.50,83,200,0.293286,0.706714
5JSY,A,B,1.00,83,200,0.293286,0.706714
5JSY,A,B,2.00,83,200,0.293286,0.706714
5JSY,A,B,5.00,80,203,0.282686,0.717314
8BJ7,A,B,0.50,99,296,0.250633,0.749367
8BJ7,A,B,1.00,99,296,0.250633,0.749367
8BJ7,A,B,2.00,91,304,0.230380,0.769620
8BJ7,A,B,5.00,82,313,0.207595,0.792405
8W6X,L,S,0.50,93,440,0.174484,0.825516
8W6X,L,S,1.00,93,440,0.174484,0.825516
8W6X,L,S,2.00,88,445,0.165103,0.834897
8W6X,L,S,5.00,84,449,0.157598,0.842402
8AYV,A,B,0.50,34,116,0.226667,0.773333
8AYV,A,B,1.00,34,116,0.226667,0.773333
8AYV,A,B,2.00,32,118,0.213333,0.786667
8AYV,A,B,5.00,30,120,0.200000,0.800000
1KJQ,A,B,0.50,58,330,0.149485,0.850515
1KJQ,A,B,1.00,58,330,0.149485,0.850515
1KJQ,A,B,2.00,55,333,0.141753,0.858247
1KJQ,A,B,5.00,54,334,0.139175,0.860825
1M2D,A,B,0.50,15,86,0.148515,0.851485
1M2D,A,B,1.00,15,86,0.148515,0.851485
1M2D,A,B,2.00,15,86,0.148515,0.851485
1M2D,A,B,5.00,15,86,0.148515,0.851485
1PSR,A,B,0.50,33,67,0.330000,0.670000
1PSR,A,B,1.00,33,67,0.330000,0.670000
1PSR,A,B,2.00,32,68,0.320000,0.680000
1PSR,A,B,5.00,31,69,0.310000,0.690000
2AXW,A,B,0.50,54,80,0.402985,0.597015
2AXW,A,B,1.00,54,80,0.402985,0.597015
2AXW,A,B,2.00,52,82,0.388060,0.611940
2AXW,A,B,5.00,48,86,0.358209,0.641791
2HIN,A,B,0.50,16,50,0.242424,0.757576
2HIN,A,B,1.00,16,50,0.242424,0.757576
2HIN,A,B,2.00,14,52,0.212121,0.787879
2HIN,A,B,5.00,13,53,0.196970,0.803030
2V9B,A,B,0.50,11,35,0.239130,0.760870
2V9B,A,B,1.00,11,35,0.239130,0.760870
2V9B,A,B,2.00,11,35,0.239130,0.760870
2V9B,A,B,5.00,10,36,0.217391,0.782609
3BEU,A,B,0.50,24,200,0.107143,0.892857
3BEU,A,B,1.00,24,200,0.107143,0.892857
3BEU,A,B,2.00,23,201,0.102679,0.897321
3BEU,A,B,5.00,20,204,0.089286,0.910714
3BVA,A,B,0.50,43,56,0.434343,0.565657
3BVA,A,B,1.00,43,56,0.434343,0.565657
3BVA,A,B,2.00,42,57,0.424242,0.575758
3BVA,A,B,5.00,37,62,0.373737,0.626263
3D1X,A,B,0.50,42,57,0.424242,0.575758
3D1X,A,B,1.00,42,57,0.424242,0.575758
3D1X,A,B,2.00,42,57,0.424242,0.575758
3D1X,A,B,5.00,38,61,0.383838,0.616162
3D1Y,A,B,0.50,43,56,0.434343,0.565657
3D1Y,A,B,1.00,43,56,0.434343,0.565657
3D1Y,A,B,2.00,43,56,0.434343,0.565657
3D1Y,A,B,5.00,39,60,0.393939,0.606061
3D20,A,B,0.50,42,57,0.424242,0.575758
3D20,A,B,1.00,42,57,0.424242,0.575758
3D20,A,B,2.00,41,58,0.414141,0.585859
3D20,A,B,5.00,38,61,0.383838,0.616162
3GMX,A,B,0.50,30,124,0.194805,0.805195
3GMX,A,B,1.00,30,124,0.194805,0.805195
3GMX,A,B,2.00,30,124,0.194805,0.805195
3GMX,A,B,5.00,29,125,0.188312,0.811688
3NON,A,B,0.50,61,164,0.271111,0.728889
3NON,A,B,1.00,61,164,0.271111,0.728889
3NON,A,B,2.00,60,165,0.266667,0.733333
3NON,A,B,5.00,52,173,0.231111,0.768889
3R40,A,B,0.50,26,265,0.089347,0.910653
3R40,A,B,1.00,26,265,0.089347,0.910653
3R40,A,B,2.00,26,265,0.089347,0.910653
3R40,A,B,5.00,25,266,0.085911,0.914089
3R41,A,B,0.50,26,276,0.086093,0.913907
3R41,A,B,1.00,26,276,0.086093,0.913907
3R41,A,B,2.00,26,276,0.086093,0.913907
3R41,A,B,5.00,23,279,0.076159,0.923841
3VM9,A,B,0.50,65,88,0.424837,0.575163
3VM9,A,B,1.00,65,88,0.424837,0.575163
3VM9,A,B,2.00,65,88,0.424837,0.575163
3VM9,A,B,5.00,63,90,0.411765,0.588235
3WMV,A,B,0.50,17,133,0.113333,0.886667
3WMV,A,B,1.00,17,133,0.113333,0.886667
3WMV,A,B,2.00,17,133,0.113333,0.886667
3WMV,A,B,5.00,15,135,0.100000,0.900000
4QYT,A,B,0.50,35,154,0.185185,0.814815
4QYT,A,B,1.00,35,154,0.185185,0.814815
4QYT,A,B,2.00,35,154,0.185185,0.814815
4QYT,A,B,5.00,29,160,0.153439,0.846561
5FI3,A,B,0.50,37,307,0.107558,0.892442
5FI3,A,B,1.00,37,307,0.107558,0.892442
5FI3,A,B,2.00,35,309,0.101744,0.898256
5FI3,A,B,5.00,35,309,0.101744,0.898256
5QU4,A,C,0.50,47,10,0.824561,0.175439
5QU4,A,C,1.00,47,10,0.824561,0.175439
5QU4,A,C,2.00,47,10,0.824561,0.175439
5QU4,A,C,5.00,45,12,0.789474,0.210526
5U4H,A,B,0.50,37,383,0.088095,0.911905
5U4H,A,B,1.00,37,383,0.088095,0.911905
5U4H,A,B,2.00,35,385,0.083333,0.916667
5U4H,A,B,5.00,31,389,0.073810,0.926190
6NIA,A,B,0.50,64,163,0.281938,0.718062
6NIA,A,B,1.00,64,163,0.281938,0.718062
6NIA,A,B,2.00,58,169,0.255507,0.744493
6NIA,A,B,5.00,53,174,0.233480,0.766520
6NNR,A,B,0.50,60,203,0.228137,0.771863
6NNR,A,B,1.00,60,203,0.228137,0.771863
6NNR,A,B,2.00,55,208,0.209125,0.790875
6NNR,A,B,5.00,49,214,0.186312,0.813688
6RJC,A,B,0.50,106,559,0.159398,0.840602
6RJC,A,B,1.00,106,559,0.159398,0.840602
6RJC,A,B,2.00,99,566,0.148872,0.851128
6RJC,A,B,5.00,85,580,0.127820,0.872180
7OQF,A,B,0.50,52,202,0.204724,0.795276
7OQF,A,B,1.00,52,202,0.204724,0.795276
7OQF,A,B,2.00,51,203,0.200787,0.799213
7OQF,A,B,5.00,46,208,0.181102,0.818898
7OQM,A,B,0.50,52,202,0.204724,0.795276
7OQM,A,B,1.00,52,202,0.204724,0.795276
7OQM,A,B,2.00,51,203,0.200787,0.799213
7OQM,A,B,5.00,46,208,0.181102,0.818898
8Q9X,A,B,0.50,70,401,0.148620,0.851380
8Q9X,A,B,1.00,70,401,0.148620,0.851380
8Q9X,A,B,2.00,66,405,0.140127,0.859873
8Q9X,A,B,5.00,59,412,0.125265,0.874735
9EZU,A,B,0.50,21,97,0.177966,0.822034
9EZU,A,B,1.00,21,97,0.177966,0.822034
9EZU,A,B,2.00,20,98,0.169492,0.830508
9EZU,A,B,5.00,17,101,0.144068,0.855932
9HDX,A,B,0.50,52,204,0.203125,0.796875
9HDX,A,B,1.00,52,204,0.203125,0.796875
9HDX,A,B,2.00,50,206,0.195312,0.804688
9HDX,A,B,5.00,43,213,0.167969,0.832031
9SA1,A,B,0.50,31,47,0.397436,0.602564
9SA1,A,B,1.00,31,47,0.397436,0.602564
9SA1,A,B,2.00,31,47,0.397436,0.602564
9SA1,A,B,5.00,28,50,0.358974,0.641026
2Z8A,A,B,0.50,26,119,0.179310,0.820690
2Z8A,A,B,1.00,26,119,0.179310,0.820690
2Z8A,A,B,2.00,25,120,0.172414,0.827586
2Z8A,A,B,5.00,23,122,0.158621,0.841379
3LB2,A,B,0.50,12,125,0.087591,0.912409
3LB2,A,B,1.00,12,125,0.087591,0.912409
3LB2,A,B,2.00,11,126,0.080292,0.919708
3LB2,A,B,5.00,10,127,0.072993,0.927007
3MCW,A,B,0.50,29,163,0.151042,0.848958
3MCW,A,B,1.00,29,163,0.151042,0.848958
3MCW,A,B,2.00,29,163,0.151042,0.848958
3MCW,A,B,5.00,28,164,0.145833,0.854167
