pdb_id,assembly_id,target_chain,partner_chain,target_residue_count,partner_residue_count,target_atom_count,partner_atom_count,pdb_path
4YPO,1,A,B,325,325,5169,5138,dataset/pdb_complexes/4YPO.pdb
5AQ0,1,A,B,81,82,649,670,dataset/pdb_complexes/5AQ0.pdb
5BR4,1,A,B,385,384,2902,2916,dataset/pdb_complexes/5BR4.pdb
5IDB,1,A,B,142,142,2140,2140,dataset/pdb_complexes/5IDB.pdb
5JSK,1,A,B,283,482,4372,7929,dataset/pdb_complexes/5JSK.pdb
5JSY,1,A,B,283,482,4510,7836,dataset/pdb_complexes/5JSY.pdb
5QU3,1,A,B,57,56,562,514,dataset/pdb_complexes/5QU3.pdb
5SY4,1,A,B,195,195,1869,1670,dataset/pdb_complexes/5SY4.pdb
5XEC,1,A,C,82,80,631,635,dataset/pdb_complexes/5XEC.pdb
5XQP,1,A,B,65,65,1055,1058,dataset/pdb_complexes/5XQP.pdb
5YOK,1,A,B,99,99,1755,1842,dataset/pdb_complexes/5YOK.pdb
6IXD,1,A,B,99,99,961,1030,dataset/pdb_complexes/6IXD.pdb
6J5S,1,A,B,113,116,961,986,dataset/pdb_complexes/6J5S.pdb
6J64,1,A,B,113,115,920,966,dataset/pdb_complexes/6J64.pdb
6L8G,1,A,B,38,87,294,728,dataset/pdb_complexes/6L8G.pdb
6Q00,1,A,B,76,44,1328,682,dataset/pdb_complexes/6Q00.pdb
6Q01,1,A,C,76,45,1339,712,dataset/pdb_complexes/6Q01.pdb
6RK0,1,A,B,214,214,1735,1776,dataset/pdb_complexes/6RK0.pdb
6TJ8,1,A,B,664,667,11497,11293,dataset/pdb_complexes/6TJ8.pdb
6TJ9,1,A,B,664,667,11298,11312,dataset/pdb_complexes/6TJ9.pdb
6VER,1,A,B,20,22,372,386,dataset/pdb_complexes/6VER.pdb
6YTU,1,A,B,34,33,767,730,dataset/pdb_complexes/6YTU.pdb
6Z8M,1,A,B,283,483,4378,7667,dataset/pdb_complexes/6Z8M.pdb
7APS,1,A,B,128,128,1110,1115,dataset/pdb_complexes/7APS.pdb
7LKL,1,A,B,268,393,2065,3168,dataset/pdb_complexes/7LKL.pdb
7OQF,1,A,B,254,255,2146,2178,dataset/pdb_complexes/7OQF.pdb
7OQM,1,A,B,254,255,2146,2178,dataset/pdb_complexes/7OQM.pdb
7Q1Q,1,A,B,30,30,581,559,dataset/pdb_complexes/7Q1Q.pdb
8AYV,1,A,B,150,149,2429,2456,dataset/pdb_complexes/8AYV.pdb
8BBP,1,A,B,344,346,5664,5602,dataset/pdb_complexes/8BBP.pdb
8BJ7,1,A,B,395,88,6067,1470,dataset/pdb_complexes/8BJ7.pdb
8BJ8,1,A,B,394,88,5917,1446,dataset/pdb_complexes/8BJ8.pdb
8DA3,1,A,B,54,50,886,831,dataset/pdb_complexes/8DA3.pdb
8DA5,1,A,B,57,55,904,898,dataset/pdb_complexes/8DA5.pdb
8DA7,1,A,B,54,52,852,844,dataset/pdb_complexes/8DA7.pdb
8GKO,1,A,C,95,282,1571,4239,dataset/pdb_complexes/8GKO.pdb
8PKR,1,A,B,121,124,1964,1916,dataset/pdb_complexes/8PKR.pdb
